iter	RMSE
0	0.02017979827
1	0.02006338955
2	0.01995582885
3	0.01986192549
4	0.01976783587
5	0.01971662324
6	0.01959784869
7	0.01946582887
8	0.01940016511
9	0.01932841951
10	0.01927976899
11	0.01924094352
12	0.01917439212
13	0.01910914579
14	0.01908663563
15	0.01902589108
16	0.01898389575
17	0.0189444883
18	0.01887318917
19	0.01881388639
20	0.01876672452
21	0.0187195938
22	0.01866017571
23	0.01863858322
24	0.01861500561
25	0.01858752129
26	0.01856109288
27	0.01854099678
28	0.01848828839
29	0.01844262628
30	0.0184056539
31	0.01836472152
32	0.01833534947
33	0.01829383985
34	0.01828064765
35	0.01823782858
36	0.01820601631
37	0.01819006115
38	0.01818055875
39	0.01814450894
40	0.01812352689
41	0.01806114082
42	0.01804160641
43	0.01801466651
44	0.01800033984
45	0.01799089408
46	0.0179468936
47	0.01791838219
48	0.01786999915
49	0.01780091695
